course,req
AERO ST 140B ,AERO ST 20C 
AERO ST 140C ,AERO ST 1A 
AERO ST 140C ,AERO ST 1B 
AERO ST 140C ,AERO ST 1C 
AERO ST 140C ,AERO ST 20A 
AERO ST 140C ,AERO ST 20B 
AERO ST 140C ,AERO ST 20C 
AF AMER 7B M ,AF AMER 7A M 
AF AMER 7C M ,AF AMER 7B M 
AF AMER 9B M ,AF AMER 9A M 
AF AMER 9C M ,AF AMER 9B M 
AF AMER 104A M ,ENGCOMP 3 
AF AMER 104A M ,ESL 36 
AF AMER 104B M ,ENGCOMP 3 
AF AMER 104B M ,ESL 36 
AF AMER 104C M ,ENGCOMP 3 
AF AMER 104C M ,ESL 36 
AF AMER 104D M ,ENGCOMP 3 
AF AMER 104D M ,ESL 36 
AF AMER 104E M ,ENGCOMP 3 
AF AMER 104E M ,ESL 36 
AF AMER 110  CM ,AF AMER 107  M 
AF AMER 144  M ,POL SCI 40 
AF AMER 170B M ,AF AMER 170A M 
AF AMER 179A M ,ENGCOMP 3 
AF AMER 179A M ,ESL 36 
AF AMER 194A M ,EDUC 180 
AF AMER 194B M ,EDUC 180 
AF AMER 194C M ,EDUC 180 
AF AMER 201B ,AF AMER 201A 
AF AMER 201C ,AF AMER 201A 
AF AMER 201C ,AF AMER 201B 
AF AMER 211  M ,ETHNOMU 110A M 
AF AMER 211  M ,ETHNOMU 110B M 
AF AMER 256  M ,AF AMER 235A CM 
AF AMER 256  M ,AF AMER 235B CM 
AF LANG 1B ,AF LANG 1A 
AF LANG 1C ,AF LANG 1B 
AF LANG 2A ,AF LANG 1C 
AF LANG 2B ,AF LANG 2A 
AF LANG 2C ,AF LANG 2B 
AF LANG 4 ,AF LANG 1A 
AF LANG 4 ,AF LANG 1B 
AF LANG 7B ,AF LANG 7A 
AF LANG 7C ,AF LANG 7B 
AF LANG 8A ,AF LANG 7C 
AF LANG 8B ,AF LANG 8A 
AF LANG 8C ,AF LANG 8B 
AF LANG 11B ,AF LANG 11A 
AF LANG 11C ,AF LANG 11B 
AF LANG 12A ,AF LANG 11C 
AF LANG 12B ,AF LANG 12A 
AF LANG 12C ,AF LANG 12B 
AF LANG 14B ,AF LANG 14A 
AF LANG 14C ,AF LANG 14B 
AF LANG 16 ,AFRICAN 1C 
AF LANG 16 ,AFRICAN 15 
AF LANG 18 ,AF LANG 7C 
AF LANG 18 ,AF LANG 17 
AF LANG 26 ,AF LANG 11C 
AF LANG 26 ,AF LANG 25 
AF LANG 31B ,AF LANG 31A 
AF LANG 31C ,AFRICAN 31B 
AF LANG 32A ,AF LANG 31C 
AF LANG 32B ,AF LANG 32A 
AF LANG 32C ,AF LANG 32B 
AF LANG 36 ,AF LANG 31C 
AF LANG 36 ,AF LANG 35 
AF LANG 41B ,AF LANG 41A 
AF LANG 41C ,AF LANG 41B 
AF LANG 42A ,AF LANG 41C 
AF LANG 42B ,AF LANG 42A 
AF LANG 42C ,AF LANG 42B 
AF LANG 46 ,AF LANG 41C 
AF LANG 46 ,AF LANG 45 
AF LANG 51B ,AF LANG 51A 
AF LANG 51C ,AFRICAN 51B 
AF LANG 52A ,AF LANG 51C 
AF LANG 52B ,AF LANG 52A 
AF LANG 52C ,AF LANG 52B 
AF LANG 61B ,AF LANG 61A 
AF LANG 61C ,AF LANG 61B 
AF LANG 62A ,AF LANG 61C 
AF LANG 62B ,AF LANG 62A 
AF LANG 62C ,AF LANG 62B 
AF LANG 103A ,AF LANG 2C 
AF LANG 103B ,AF LANG 103A 
AF LANG 103C ,AF LANG 103B 
AF LANG 109A ,AF LANG 8C 
AF LANG 109B ,AF LANG 109A 
AF LANG 109C ,AF LANG 109B 
AF LANG 123A ,AF LANG 12C 
AF LANG 123B ,AF LANG 123A 
AF LANG 123C ,AF LANG 123B 
AF LANG 133A ,AF LANG 32C 
AF LANG 133B ,AF LANG 133A 
AF LANG 133C ,AF LANG 133B 
AF LANG 143A ,AF LANG 42C 
AF LANG 143B ,AF LANG 143A 
AF LANG 143C ,AF LANG 143B 
AF LANG 153A ,AF LANG 52C 
AF LANG 153B ,AF LANG 153A 
AF LANG 153C ,AF LANG 153B 
AF LANG 187  M ,LING 20 
AFRICAN 1B ,AFRICAN 1A 
AFRICAN 1C ,AFRICAN 1B 
AFRICAN 2A ,AFRICAN 1C 
AFRICAN 2B ,AFRICAN 2A 
AFRICAN 2C ,AFRICAN 2B 
AFRICAN 4 ,AFRICAN 1A 
AFRICAN 4 ,AFRICAN 1B 
AFRICAN 7B ,AFRICAN 7A 
AFRICAN 7C ,AFRICAN 7B 
AFRICAN 8A ,AFRICAN 7C 
AFRICAN 8B ,AFRICAN 8A 
AFRICAN 8C ,AFRICAN 8B 
AFRICAN 11B ,AFRICAN 11A 
AFRICAN 11C ,AFRICAN 11B 
AFRICAN 12A ,AFRICAN 11C 
AFRICAN 12B ,AFRICAN 12A 
AFRICAN 12C ,AFRICAN 12B 
AFRICAN 16 ,AFRICAN 1C 
AFRICAN 16 ,AFRICAN 15 
AFRICAN 18 ,AFRICAN 7C 
AFRICAN 18 ,AFRICAN 17 
AFRICAN 26 ,AFRICAN 11C 
AFRICAN 26 ,AFRICAN 25 
AFRICAN 31B ,AFRICAN 31A 
AFRICAN 31C ,AFRICAN 31B 
AFRICAN 32A ,AFRICAN 31C 
AFRICAN 32B ,AFRICAN 32A 
AFRICAN 32C ,AFRICAN 32B 
AFRICAN 36 ,AFRICAN 31C 
AFRICAN 36 ,AFRICAN 35 
AFRICAN 41B ,AFRICAN 41A 
AFRICAN 41C ,AFRICAN 41B 
AFRICAN 42A ,AFRICAN 41C 
AFRICAN 42B ,AFRICAN 42A 
AFRICAN 42C ,AFRICAN 42B 
AFRICAN 46 ,AFRICAN 41C 
AFRICAN 46 ,AFRICAN 45 
AFRICAN 51B ,AFRICAN 51A 
AFRICAN 51C ,AFRICAN 51B 
AFRICAN 52A ,AFRICAN 51C 
AFRICAN 52B ,AFRICAN 52A 
AFRICAN 52C ,AFRICAN 52B 
AFRICAN 61B ,AFRICAN 61A 
AFRICAN 61C ,AFRICAN 61B 
AFRICAN 62A ,AFRICAN 61C 
AFRICAN 62B ,AFRICAN 62A 
AFRICAN 62C ,AFRICAN 62B 
AFRICAN 103A ,AFRICAN 2C 
AFRICAN 103B ,AFRICAN 103A 
AFRICAN 103C ,AFRICAN 103B 
AFRICAN 109A ,AFRICAN 8C 
AFRICAN 109B ,AFRICAN 109A 
AFRICAN 109C ,AFRICAN 109B 
AFRICAN 123A ,AFRICAN 12C 
AFRICAN 123B ,AFRICAN 123A 
AFRICAN 123C ,AFRICAN 123B 
AFRICAN 133A ,AFRICAN 32C 
AFRICAN 133B ,AFRICAN 133A 
AFRICAN 133C ,AFRICAN 133B 
AFRICAN 143A ,AFRICAN 42C 
AFRICAN 143B ,AFRICAN 143A 
AFRICAN 143C ,AFRICAN 143B 
AFRICAN 153A ,AFRICAN 52C 
AFRICAN 153B ,AFRICAN 153A 
AFRICAN 153C ,AFRICAN 153B 
AFRICAN 187  M ,LING 20 
AFRICAN 190  M ,LING 20 
AFRICAN 202A ,LING 110 
AFRICAN 202A ,LING 165A 
AFRICAN 202A ,LING 165B 
AFRICAN 202B ,LING 110 
AFRICAN 202B ,LING 165A 
AFRICAN 202B ,LING 165B 
AFRKAAN 40 ,ENGCOMP 3 
AFRKAAN 40 ,ESL 36 
AFRKAAN 105B ,AFRKAAN 105A 
AFRKAAN 135 ,AFRKAAN 105B 
AFRO-AM 104A M ,ENGCOMP 3 
AFRO-AM 104A M ,ESL 36 
AFRO-AM 104B M ,ENGCOMP 3 
AFRO-AM 104B M ,ESL 36 
AFRO-AM 104C M ,ENGCOMP 3 
AFRO-AM 104C M ,ESL 36 
AFRO-AM 104D M ,ENGCOMP 3 
