course,req
CHEM 175  C ,CHEM 172 
CHEM 176  C ,CHEM 113A 
CHEM 176  C ,CHEM 172 
CHEM 179  C ,CHEM 153A 
CHEM 179  C ,CHEM 171 
CHEM 180  C ,CHEM 172 
CHEM 181  C ,CHEM 30B 
CHEM 181  C ,CHEM 110A 
CHEM 184 ,CHEM 30CL 
CHEM 184 ,CHEM 110A 
CHEM 185 ,CHEM 30AL 
CHEM 185 ,CHEM 110A 
CHEM 185 ,CHEM 113A 
CHEM 185 ,CHEM 171 
CHEM 185  C ,CHEM 30AL 
CHEM 185  C ,CHEM 110A 
CHEM 185  C ,CHEM 113A 
CHEM 185  C ,CHEM 171 
CHEM 186  M ,LIFESCI 1 
CHEM 186  M ,LIFESCI 2 
CHEM 186  M ,LIFESCI 3 
CHEM 186  M ,LIFESCI 4 
CHEM 186  M ,LIFESCI 7A 
CHEM 186  M ,LIFESCI 7B 
CHEM 186  M ,LIFESCI 7C 
CHEM 186  M ,MATH 33B 
CHEM 186  M ,EC ENGR 131A 
CHEM 186  M ,MATH 170A 
CHEM 186  M ,STATS 100A 
CHEM 188SA ,HNRS 101E 
CHEM 188SB ,CHEM 188SA 
CHEM 188SB ,HNRS 101E 
CHEM 188SC ,CHEM 188SB 
CHEM 190 ,CHEM 199 
CHEM 191 ,CHEM 199B 
CHEM 192A ,CHEM 14BL 
CHEM 192A ,CHEM 14CL 
CHEM 192A ,CHEM 20L 
CHEM 192A ,CHEM 30AL 
CHEM 192A ,SCI EDU 100SL 
CHEM 192B ,CHEM 14BL 
CHEM 192B ,CHEM 14CL 
CHEM 192B ,CHEM 20L 
CHEM 192B ,CHEM 30AL 
CHEM 192B ,SCI EDU 100SL 
CHEM 192F ,CHEM 192E 
CHEM 192F ,LIFESCI 192A 
CHEM 192F ,PHYSICS 192S 
CHEM 196B ,CHEM 196A 
CHEM 199 ,CHEM 196A 
CHEM 199B ,CHEM 199A 
CHEM 200  C ,CHEM 153B 
CHEM 200  C ,MIMG 132 
CHEM 200  C ,MCD BIO 144 
CHEM 200  C ,MCD BIO 165B 
CHEM 203D ,CHEM 203A 
CHEM 203D ,CHEM 203B 
CHEM 203D ,CHEM 203C 
CHEM 205A CM ,CHEM 153A 
CHEM 205B M ,CHEM 205A CM 
CHEM 207  C ,CHEM 172 
CHEM 213B C ,CHEM 113A 
CHEM 215A C ,CHEM 113A 
CHEM 215A C ,MATH 31A 
CHEM 215A C ,MATH 31B 
CHEM 215A C ,MATH 32A 
CHEM 215A C ,MATH 32B 
CHEM 215A C ,MATH 33A 
CHEM 215B C ,CHEM 113A 
CHEM 215B C ,CHEM 115A C 
CHEM 215B C ,PHYSICS 115B 
CHEM 215B C ,MATH 31A 
CHEM 215B C ,MATH 31B 
CHEM 215B C ,MATH 32A 
CHEM 215B C ,MATH 32B 
CHEM 215B C ,MATH 33A 
CHEM 222  C ,MATH 31A 
CHEM 222  C ,MATH 31B 
CHEM 222  C ,MATH 32A 
CHEM 222  C ,MATH 32B 
CHEM 226A C ,CHEM 110A 
CHEM 226A C ,CHEM 113A 
CHEM 226A C ,MATH 33A 
CHEM 227  CM ,CHEM 153A 
CHEM 227  M ,CHEM 253  CM 
CHEM 250 ,CHEM 130B 
CHEM 250 ,CHEM 130BL 
CHEM 250 ,CHEM 132C 
CHEM 250 ,CHEM 132CL 
CHEM 250 ,CHEM 153A 
CHEM 250 ,CHEM 153B 
CHEM 250 ,CHEM 153C 
CHEM 253  CM ,CHEM 110A 
CHEM 253  CM ,CHEM 153A 
CHEM 253  CM ,CHEM 153B 
CHEM 253  CM ,CHEM 153C 
CHEM 253  CM ,CHEM 156 
CHEM 259A C ,CHEM 269D 
CHEM 259B C ,CHEM 269D 
CHEM 260A CM ,COM SCI 32 
CHEM 260A CM ,COMPTNG 10C 
CHEM 260A CM ,C&EE 110 
CHEM 260A CM ,EC ENGR 131A 
CHEM 260A CM ,MATH 170A 
CHEM 260A CM ,MATH 170E 
CHEM 260A CM ,STATS 100A 
CHEM 260B C ,CHEM 260A CM 
CHEM 260B CM ,COM SCI 32 
CHEM 260B CM ,COMPTNG 10C 
CHEM 260B CM ,MATH 170A 
CHEM 260B CM ,MATH 170E 
CHEM 260B CM ,STATS 100A 
CHEM 260B CM ,C&EE 110 
CHEM 260B CM ,EL ENGR 131A 
CHEM 260BL ,CHEM 260A CM 
CHEM 260BL ,CHEM 260B CM 
CHEM 261A C ,CHEM 153C 
CHEM 261A C ,CHEM 153L 
CHEM 262 ,CHEM 269A 
CHEM 262 ,CHEM 269B 
CHEM 262 ,CHEM 269C 
CHEM 262 ,CHEM 269D 
CHEM 263  C ,CHEM 156 
CHEM 265  C ,CHEM 153A 
CHEM 265  C ,CHEM 153B 
CHEM 265  C ,CHEM 153C 
CHEM 266 ,CHEM 259A CM 
CHEM 266 ,CHEM 259B CM 
CHEM 267 ,CHEM 110A 
CHEM 267 ,CHEM 113A 
CHEM 267 ,CHEM 171 
CHEM 267 ,CHEM 172 
CHEM 267A M ,CHEM 153A 
CHEM 267A M ,CHEM 153B 
CHEM 267A M ,CHEM 153C 
CHEM 269A ,CHEM 153A 
CHEM 269A ,CHEM 153B 
CHEM 269A ,CHEM 153C 
CHEM 269A ,CHEM 156 
CHEM 269B ,CHEM 153A 
CHEM 269B ,CHEM 153B 
CHEM 269B ,CHEM 153C 
CHEM 269B ,CHEM 156 
CHEM 269C ,CHEM 153A 
CHEM 269C ,CHEM 153B 
CHEM 269C ,CHEM 153C 
CHEM 269C ,CHEM 156 
CHEM 269D ,CHEM 153A 
CHEM 269D ,CHEM 153B 
CHEM 269D ,CHEM 153C 
CHEM 269D ,CHEM 156 
CHEM 269E ,CHEM 153A 
CHEM 269E ,CHEM 153B 
CHEM 269E ,CHEM 153C 
CHEM 269E ,CHEM 156 
CHEM 270  C ,CHEM 153A 
CHEM 270  C ,CHEM 153B 
CHEM 270  C ,LIFESCI 3 
CHEM 270  C ,LIFESCI 23L 
CHEM 270  C ,CHEM 153L 
CHEM 272  C ,CHEM 171 
CHEM 274  C ,CHEM 30CL 
CHEM 274  C ,CHEM 171 
CHEM 275  C ,CHEM 110A 
CHEM 275  C ,CHEM 110B 
CHEM 275  C ,CHEM 113A 
CHEM 275  C ,CHEM 172 
CHEM 276A C ,CHEM 113A 
CHEM 276A C ,CHEM 172 
CHEM 280  C ,CHEM 172 
CHEM 281  C ,CHEM 110A 
CHEM 281  C ,CHEM 130A 
CHEM 281  C ,CHEM 132B 
CHEM 285 ,CHEM 30AL 
CHEM 285 ,CHEM 110A 
CHEM 285 ,CHEM 113A 
CHEM 285 ,CHEM 171 
CHICANO 5B M ,CHICANO 5A M 
CHICANO 5C M ,CHICANO 5B M 
CHICANO 15A M ,CHICANO 5A M 
CHICANO 15A M ,CHICANO 5B M 
CHICANO 15A M ,CHICANO 5C M 
CHICANO 15B M ,CHICANO 15A M 
CHICANO 15C M ,CHICANO 15B M 
CHICANO 97 ,CHICANO 10A 
CHICANO 97 ,CHICANO 10B 
CHICANO 101 ,CHICANO 10A 
CHICANO 101 ,CHICANO 10B 
CHICANO 103G M ,THEATER 103D M 
CHICANO 103H M ,CHICANO 103D M 
CHICANO 105A M ,ENGCOMP 3 
CHICANO 105A M ,ESL 36 
CHICANO 105B M ,ENGCOMP 3 
CHICANO 105B M ,ESL 36 
CHICANO 105C M ,ENGCOMP 3 
CHICANO 105C M ,ESL 36 
CHICANO 105D M ,ENGCOMP 3 
CHICANO 105D M ,ESL 36 
CHICANO 105E M ,ENGCOMP 3 
CHICANO 105E M ,ESL 36 
CHICANO 105F ,ENGCOMP 3 
CHICANO 105F ,ESL 36 
CHICANO 105SLM ,ENGCOMP 3 
CHICANO 110  CM ,GENDER 10 
CHICANO 110  CM ,CHICANO 10A 
CHICANO 110  M ,WOM STD 10 
CHICANO 110  M ,CHICANO 10A 
CHICANO 135  CM ,CHICANO 10A 
CHICANO 135  CM ,ENGL 10A 
CHICANO 137  M ,ART HIS 27 
CHICANO 139  M ,ENGCOMP 3 
CHICANO 139  M ,ESL 36 
CHICANO 140B M ,CHICANO 140A M 
CHICANO 145A M ,SPAN 25 
CHICANO 145A M ,SPAN 27 
CHICANO 145B M ,SPAN 25 
CHICANO 145B M ,SPAN 27 
CHICANO 146  M ,SPAN 25 
CHICANO 146  M ,SPAN 27 
CHICANO 154  M ,WOM STD 10 
CHICANO 155  M ,SOCIOL 1 
CHICANO 156B M ,CHICANO 156A M 
CHICANO 156C M ,CHICANO 156A M 
CHICANO 156C M ,CHICANO 156B M 
CHICANO 161 ,CHICANO 160 
CHICANO 162 ,CHICANO 161 
CHICANO 162A M ,CHICANO 15A M 
CHICANO 162A M ,CHICANO 15B M 
CHICANO 162A M ,CHICANO 15C M 
CHICANO 162B M ,CHICANO 162A M 
CHICANO 162C M ,CHICANO 162B M 
CHICANO 163 ,SPAN 4 
CHICANO 167B M ,CHICANO 167A M 
CHICANO 167SLM ,SPAN 25 
CHICANO 167SLM ,SPAN 27 
CHICANO 168B ,CHICANO 168A 
CHICANO 172V M ,CHICANO 10A 
CHICANO 172V M ,CHICANO 10B 
CHICANO 172V M ,ANTHRO 9 
CHICANO 174B M ,CHICANO 174A M 
CHICANO 174BX ,CHICANO 174AX 
CHICANO 174C M ,EDUC 145A M 
CHICANO 174C M ,EDUC 145B M 
CHICANO 174C M ,CHICANO 174A M 
CHICANO 174C M ,CHICANO 174B M 
CHICANO 186A M ,CHICANO 186ALM 
CHICANO 186B M ,CHICANO 186A M 
CHICANO 186B M ,CHICANO 186ALM 
CHICANO 186B M ,CHICANO 186BLM 
CHICANO 186BLM ,CHICANO 186ALM 
CHICANO 186C M ,CHICANO 186B M 
CHICANO 186C M ,CHICANO 186BLM 
CHICANO 186C M ,CHICANO 186CLM 
CHICANO 186CLM ,CHICANO 186BLM 
CHICANO 188SA ,HNRS 101E 
CHICANO 188SB ,CHICANO 188SA 
CHICANO 188SB ,HNRS 101E 
CHICANO 188SC ,CHICANO 188SB 
CHICANO 190  M ,CHICANO 10A 
CHICANO 190  M ,CHICANO 10B 
CHICANO 192 ,CHICANO 10A 
CHICANO 192 ,CHICANO 10B 
CHICANO 196 ,CHICANO 10A 
CHICANO 196 ,CHICANO 10B 
CHICANO 197 ,CHICANO 10A 
CHICANO 197 ,CHICANO 10B 
CHICANO 197B M ,ENGCOMP 3 
CHICANO 197B M ,ENGCOMP 3 
CHICANO 197C ,CHICANO 10A 
CHICANO 197C ,CHICANO 10B 
CHICANO 197C ,CHICANO 101 
CHICANO 198A ,CHICANO 10A 
CHICANO 198A ,CHICANO 10B 
CHICANO 198A ,CHICANO 101 
CHICANO 198A ,CHICANO 89 
CHICANO 198A ,CHICANO 189 
CHICANO 198B ,CHICANO 198A 
CHICANO 198C ,CHICANO 198A 
CHICANO 198C ,CHICANO 198B 
CHICANO 199 ,CHICANO 10A 
CHICANO 199 ,CHICANO 10B 
CHICANO 214  CM ,GENDER 10 
CHICANO 214  CM ,CHICANO 10A 
CHIN 2 ,CHIN 1 
CHIN 2A ,CHIN 1A 
CHIN 3 ,CHIN 2 
CHIN 3A ,CHIN 2A 
CHIN 4 ,CHIN 3 
CHIN 4 ,CHIN 8 
CHIN 4A ,CHIN 3A 
CHIN 5 ,CHIN 4 
CHIN 5A ,CHIN 4A 
CHIN 6 ,CHINESE 5 
CHIN 6A ,CHINESE 5A 
CHIN 6C ,CHIN 5C 
CHIN 10 ,CHIN 3 
CHIN 10 ,CHIN 8 
CHIN 50W ,ENGCOMP 3 
CHIN 50W ,ESL 36 
CHIN 60W ,ENGCOMP 3 
CHIN 60W ,ESL 36 
CHIN 60W M ,ENGCOMP 3 
CHIN 60W M ,ESL 36 
CHIN 70W ,ENGCOMP 3 
CHIN 70W ,ESL 36 
CHIN 98T ,ENGCOMP 2 
CHIN 98T ,ENGCOMP 2I 
CHIN 100A ,CHIN 6 
CHIN 100A ,CHIN 10 
CHIN 100B ,CHIN 100A 
CHIN 100C ,CHIN 100B 
CHIN 100D ,CHIN 6A 
CHIN 100E ,CHIN 100D 
CHIN 100F ,CHIN 100E 
CHIN 100I ,CHIN 6 
CHIN 100I ,CHIN 10 
CHIN 101A ,CHIN 100C 
CHIN 101A ,CHIN 100F 
CHIN 101A ,CHIN 100I 
CHIN 101B ,CHIN 100C 
CHIN 101B ,CHIN 100F 
CHIN 101B ,CHIN 100I 
CHIN 101C ,CHIN 101B 
CHIN 102A ,CHIN 6 
CHIN 102A ,CHIN 10 
CHIN 102B ,CHIN 6 
CHIN 102B ,CHIN 10 
CHIN 107A C ,CHIN 101B 
CHIN 107B C ,CHIN 101B 
CHIN 108FL ,CHIN 100C 
CHIN 108FL ,CHIN 100I 
CHIN 109 ,CHIN 100C 
CHIN 110A ,CHIN 3 
CHIN 110B ,CHIN 110A 
CHIN 110C ,CHIN 110B 
CHIN 120 ,CHIN 6 
CHIN 120 ,CHIN 6C 
CHIN 120 ,CHIN 10 
CHIN 120  C ,CHIN 6 
CHIN 120  C ,CHIN 6C 
CHIN 120  C ,CHIN 10 
CHIN 124 ,CHIN 3 
CHIN 124 ,CHIN 8 
CHIN 125 ,CHIN 3 
CHIN 125 ,CHIN 8 
CHIN 130A ,CHIN 100B 
CHIN 130B ,CHIN 100B 
CHIN 135 ,CHIN 100C 
CHIN 135 ,CHIN 100I 
CHIN 140A ,CHIN 110C 
CHIN 140B ,CHIN 110C 
CHIN 140C ,CHIN 110C 
CHIN 140D ,CHINESE 110B 
CHIN 151 ,ENGCOMP 3 
CHIN 151 ,ESL 36 
CHIN 151 ,COM LIT 1A 
CHIN 151 ,COM LIT 1B 
CHIN 151 ,COM LIT 1C 
CHIN 151 ,COM LIT 1D 
CHIN 165 ,CHIN 100A 
CHIN 165 ,CHIN 110B 
CHIN 165 ,JAPANSE 110 
CHIN 165 ,KOREAN 100A 
CHIN 170 ,CHINESE 110B 
CHIN 187 ,CHIN 110B 
CHIN 200A ,CHIN 110C 
CHIN 207A C ,CHIN 101B 
CHIN 207B C ,CHIN 101B 
CHIN 240  C ,CHIN 6 
CHIN 240  C ,CHIN 6C 
CHIN 240  C ,CHIN 10 
CHIN 243 ,CHIN 200B 
CHIN 290A ,CHIN 186 
CHIN 290B ,CHIN 186 
CHINESE 2 ,CHINESE 1 
CHINESE 2A ,CHINESE 1A 
CHINESE 3 ,CHINESE 2 
CHINESE 3A ,CHINESE 2A 
CHINESE 4 ,CHINESE 3 
CHINESE 4A ,CHINESE 3A 
CHINESE 5 ,CHINESE 4 
CHINESE 5A ,CHINESE 4A 
CHINESE 5C ,CHINESE 4C 
CHINESE 6 ,CHINESE 5 
CHINESE 6A ,CHINESE 5A 
CHINESE 6C ,CHINESE 5C 
CHINESE 6R ,CHINESE 3R 
CHINESE 10 ,CHINESE 3 
CHINESE 100A ,CHINESE 6 
CHINESE 100B ,CHINESE 100A 
CHINESE 100C ,CHINESE 100B 
CHINESE 101A ,CHINESE 100C 
CHINESE 101B ,CHINESE 100C 
CHINESE 102A ,CHINESE 100C 
CHINESE 110A ,CHINESE 3 
CHINESE 110B ,CHINESE 110A 
CHINESE 110C ,CHINESE 110B 
CHINESE 120 ,CHINESE 6 
CHINESE 130A ,CHINESE 100B 
CHINESE 130B ,CHINESE 100B 
CHINESE 140A ,CHINESE 110B 
CHINESE 140B ,CHINESE 110B 
CHINESE 140C ,CHINESE 110B 
CHINESE 151 ,ENGCOMP 3 
CHINESE 151 ,ENGCOMP 3 
CHINESE 151 ,ENGCOMP 3H 
CHINESE 151 ,ENGCOMP 3H 
CHINESE 151 ,COM LIT 1A 
CHINESE 151 ,COM LIT 1B 
CHINESE 151 ,COM LIT 1C 
CHINESE 151 ,COM LIT 1D 
CHINESE 165 ,CHINESE 100A 
CHINESE 165 ,CHINESE 110B 
CHINESE 165 ,JAPANSE 110 
CHINESE 165 ,KOREAN 100A 
CHINESE 170 ,CHINESE 110B 
CHINESE 187 ,CHINESE 110B 
CHINESE 195 ,CHINESE 110B 
CHM ENG 100 ,CHEM 20B 
CHM ENG 100 ,CHEM 20L 
CHM ENG 100 ,MATH 32B 
CHM ENG 100 ,PHYSICS 1A 
CHM ENG 101A ,CHM ENG 105A M 
CHM ENG 101A ,CHM ENG 109 
CHM ENG 101A ,MATH 33A 
CHM ENG 101A ,MATH 33B 
CHM ENG 101B ,CHM ENG 101A 
CHM ENG 101C ,CHM ENG 100 
CHM ENG 101C ,CHM ENG 101B 
CHM ENG 101C ,CHM ENG 102 
CHM ENG 102 ,CHM ENG 100 
CHM ENG 102 ,CHM ENG 105A M 
CHM ENG 103 ,CHM ENG 100 
CHM ENG 103 ,CHM ENG 101B 
CHM ENG 103 ,CHM ENG 102 
CHM ENG 104A ,CHM ENG 100 
CHM ENG 104A ,CHM ENG 101B 
CHM ENG 104A ,CHM ENG 102 
CHM ENG 104B ,CHM ENG 101C 
CHM ENG 104B ,CHM ENG 103 
CHM ENG 104B ,CHM ENG 104A 
CHM ENG 104C ,CHM ENG 101C 
CHM ENG 104C ,CHM ENG 104A 
CHM ENG 104C ,CHM ENG 104CL 
CHM ENG 104C ,EL ENGR 2 
CHM ENG 104C ,MAT SCI 120 
CHM ENG 104CL ,CHM ENG 104C 
CHM ENG 104CL ,CHM ENG 101C 
CHM ENG 104CL ,CHM ENG 104A 
CHM ENG 104CL ,EL ENGR 2 
CHM ENG 104CL ,MAT SCI 120 
CHM ENG 104D ,CHM ENG 101C 
CHM ENG 104D ,CHM ENG 103 
CHM ENG 104D ,CHM ENG 104A 
CHM ENG 104DL ,CHM ENG 101C 
CHM ENG 104DL ,CHM ENG 103 
CHM ENG 104DL ,CHM ENG 104A 
CHM ENG 104DL ,CHM ENG 104D 
CHM ENG 105A M ,CHEM 20B 
CHM ENG 105A M ,MATH 32B 
CHM ENG 106 ,CHM ENG 100 
CHM ENG 106 ,CHM ENG 101C 
CHM ENG 106 ,CHM ENG 102 
CHM ENG 107 ,CHM ENG 101C 
CHM ENG 107 ,CHM ENG 103 
CHM ENG 107 ,CHM ENG 106 
CHM ENG 108A ,CHM ENG 103 
CHM ENG 108A ,CHM ENG 104B 
CHM ENG 108A ,CHM ENG 106 
CHM ENG 108B ,CHM ENG 103 
CHM ENG 108B ,CHM ENG 106 
CHM ENG 108B ,CHM ENG 108A 
CHM ENG 108B ,COM SCI 10F 
CHM ENG 110 ,CHM ENG 102 
CHM ENG 111  C ,CHM ENG 102 
CHM ENG 111  C ,MAT SCI 130 
CHM ENG 111  C ,CHM ENG 105A M 
CHM ENG 112 ,CHM ENG 101A 
CHM ENG 112 ,CHEM 30 
CHM ENG 112  C ,CHM ENG 101A 
CHM ENG 112  C ,CHEM 30A 
CHM ENG 113 ,CHM ENG 101C 
CHM ENG 113 ,CHM ENG 102 
CHM ENG 114  C ,CHM ENG 102 
CHM ENG 114  C ,MAT SCI 130 
CHM ENG 114  C ,CHM ENG 105A M 
CHM ENG 115  C ,CHM ENG 101C 
CHM ENG 115  C ,CHM ENG 106 
CHM ENG 115  C ,CHEM 156 
CHM ENG 116  C ,CHEM 113A 
CHM ENG 118  C ,CHM ENG 101C 
CHM ENG 118  C ,CHM ENG 102 
CHM ENG 119  C ,CHM ENG 108A 
CHM ENG 125  C ,CHM ENG 101C 
CHM ENG 125  C ,CHM ENG 103 
CHM ENG 125  C ,CHEM 156 
CHM ENG 140  C ,CHM ENG 101C 
CHM ENG 165  CM ,CHM ENG 115  C 
CHM ENG 165  CM ,CHEM 156 
CHM ENG 165  CM ,MICROB 101 
CHM ENG 219  C ,CHM ENG 108A 
CHM ENG 290U M ,URB PLN 260A 
CHM ENG 290U M ,URB PLN 260B 
CIV ENG 3 ,CHEM 11B 
CIV ENG 3 ,MATH 3B 
CIV ENG 12 ,CIV ENG 11 
CIV ENG 15B ,CIV ENG 15A 
CIVIC 110SLM ,ENGCOMP 3 
CIVIC 188SA ,HNRS 101E 
CIVIC 188SB ,CIVIC 188SA 
CIVIC 188SB ,HNRS 101E 
CIVIC 188SC ,CIVIC 188SB 
CIVIC 194 ,CIVIC 195CE 
CIVIC 194  M ,CIVIC 195CE 
CIVIC 194B ,CIVIC 194A 
CIVIC 194B ,POL SCI 115C 
CIVIC 198 ,CIVIC 194 
CIVIC 199 ,CIVIC 194 
CLASSIC 40W ,ENGCOMP 3 
CLASSIC 41W ,ENGCOMP 3 
CLASSIC 87GE ,CLASSIC 20 
CLASSIC 88GE ,CLASSIC 20 
CLASSIC 98T ,ENGCOMP 2 
CLASSIC 98T ,ENGCOMP 2I 
CLASSIC 114B M ,CLASSIC 114A M 
CLASSIC 137 ,CLASSIC 10 
CLASSIC 137 ,CLASSIC 20 
CLASSIC 138 ,CLASSIC 10 
CLASSIC 138 ,CLASSIC 20 
CLASSIC 140 ,CLASSIC 10 
CLASSIC 140 ,CLASSIC 40W 
CLASSIC 141 ,CLASSIC 20 
CLASSIC 141 ,CLASSIC 41W 
CLASSIC 142 ,CLASSIC 10 
CLASSIC 142 ,CLASSIC 20 
CLASSIC 142 ,CLASSIC 30 
CLASSIC 142 ,CLASSIC 40W 
CLASSIC 142 ,CLASSIC 41W 
CLASSIC 143 ,CLASSIC 10 
CLASSIC 143 ,CLASSIC 20 
CLASSIC 143 ,CLASSIC 40 
CLASSIC 143 ,CLASSIC 41 
CLASSIC 143A ,CLASSIC 10 
CLASSIC 143A ,CLASSIC 40W 
CLASSIC 144 ,CLASSIC 10 
CLASSIC 144 ,CLASSIC 20 
CLASSIC 144 ,CLASSIC 30 
CLASSIC 144 ,CLASSIC 40W 
CLASSIC 144 ,CLASSIC 41W 
CLASSIC 145B M ,CLASSIC 145A M 
CLASSIC 145B M ,PHILOS 1 
CLASSIC 145B M ,PHILOS 100A 
CLASSIC 145B M ,PHILOS 101B M 
CLASSIC 145B M ,PHILOS 102 
CLASSIC 146B M ,CLASSIC 146A M 
CLASSIC 148 ,CLASSIC 10 
CLASSIC 150A ,CLASSIC 10 
CLASSIC 150B ,CLASSIC 20 
CLASSIC 152 ,CLASSIC 10 
CLASSIC 152 ,CLASSIC 20 
CLASSIC 152 ,HIST 1A 
CLASSIC 152A ,CLASSIC 10 
CLASSIC 152A ,CLASSIC 51A 
CLASSIC 152A ,ART HIS 20 
CLASSIC 152A ,HIST 1A 
CLASSIC 152B ,CLASSIC 20 
CLASSIC 152B ,CLASSIC 51B 
CLASSIC 152B ,HIST 1A 
CLASSIC 152B ,ART HIS 20 
CLASSIC 153A M ,CLASSIC 10 
CLASSIC 153A M ,CLASSIC 51A 
CLASSIC 153A M ,ART HIS 20 
CLASSIC 153B M ,CLASSIC 10 
CLASSIC 153B M ,CLASSIC 51A 
CLASSIC 153B M ,ART HIS 20 
CLASSIC 153C M ,CLASSIC 10 
CLASSIC 153C M ,CLASSIC 51A 
CLASSIC 153C M ,ART HIS 20 
CLASSIC 153D M ,CLASSIC 10 
CLASSIC 153D M ,CLASSIC 51A 
CLASSIC 153D M ,ART HIS 20 
CLASSIC 153E M ,CLASSIC 10 
CLASSIC 153E M ,CLASSIC 51A 
CLASSIC 153E M ,ART HIS 20 
CLASSIC 153F M ,CLASSIC 20 
CLASSIC 153F M ,CLASSIC 51A 
CLASSIC 153F M ,ART HIS 20 
CLASSIC 153G M ,CLASSIC 20 
CLASSIC 153G M ,CLASSIC 51B 
CLASSIC 153G M ,ART HIS 20 
CLASSIC 153H M ,CLASSIC 20 
CLASSIC 153H M ,CLASSIC 51B 
CLASSIC 153H M ,ART HIS 20 
CLASSIC 153I M ,CLASSIC 10 
CLASSIC 153I M ,CLASSIC 20 
CLASSIC 153I M ,CLASSIC 51A 
CLASSIC 153I M ,CLASSIC 51B 
CLASSIC 153I M ,ART HIS 20 
CLASSIC 153I M ,HIST 1A 
CLASSIC 153J M ,CLASSIC 10 
CLASSIC 153J M ,CLASSIC 20 
CLASSIC 153J M ,CLASSIC 51A 
CLASSIC 153J M ,CLASSIC 51B 
CLASSIC 153J M ,ART HIS 20 
CLASSIC 153J M ,HIST 1A 
CLASSIC 153K M ,CLASSIC 10 
CLASSIC 153K M ,CLASSIC 20 
CLASSIC 153K M ,CLASSIC 51A 
CLASSIC 153K M ,CLASSIC 51B 
CLASSIC 153K M ,ART HIS 20 
CLASSIC 153K M ,HIST 1A 
CLASSIC 160 ,CLASSIC 10 
CLASSIC 160 ,CLASSIC 20 
CLASSIC 165 ,CLASSIC 10 
CLASSIC 165 ,HIST 1A 
CLASSIC 166A ,CLASSIC 10 
CLASSIC 166A ,CLASSIC 30 
CLASSIC 166B ,CLASSIC 20 
CLASSIC 167 ,CLASSIC 10 
CLASSIC 167 ,CLASSIC 20 
CLASSIC 167  M ,CLASSIC 10 
CLASSIC 167  M ,CLASSIC 20 
CLASSIC 168 ,CLASSIC 30 
CLASSIC 168 ,GE CLST 30A 
CLASSIC 168 ,GE CLST 30B 
CLASSIC 168 ,GE CLST 30CW 
CLASSIC 169 ,CLASSIC 10 
CLASSIC 169 ,CLASSIC 20 
CLASSIC 169 ,HIST 1A 
CLASSIC 170A ,CLASSIC 10 
CLASSIC 170A ,HIST 116A 
CLASSIC 170A ,HIST 116B 
CLASSIC 170B ,CLASSIC 20 
CLASSIC 170B ,HIST 117A 
CLASSIC 170B ,HIST 117B 
CLASSIC 170C M ,HIST 116A 
CLASSIC 170C M ,HIST 116B 
CLASSIC 180 ,GREEK 3 
CLASSIC 180 ,LATIN 3 
CLASSIC 188SA ,HNRS 101E 
CLASSIC 188SB ,CHICANO 188SA 
CLASSIC 188SB ,HNRS 101E 
CLASSIC 188SC ,CHICANO 188SB 
CLASSIC 190 ,CLASSIC 10 
CLASSIC 190 ,CLASSIC 20 
CLASSIC 190 ,CLASSIC 40W 
CLASSIC 190 ,CLASSIC 41W 
CLASSIC 191 ,CLASSIC 10 
CLASSIC 191 ,CLASSIC 20 
CLASSIC 198A ,CLASSIC 191 
CLASSIC 198B ,CLASSIC 198A 
CLT HTG 210L ,CAEM 215  M 
CLT HTG 210L ,CAEM 216 
CLT HTG 210L ,CAEM 260 
CLT HTG 210L ,CAEM 261 
CLT HTG 210L ,CAEM 262 
CLT HTG 210L ,CAEM 263 
CLT HTG 210L ,CAEM 264 
CLT HTG 210L ,CAEM 210  M 
CLT HTG 230 ,CAEM 260 
CLT HTG 231 ,CAEM 261 
CLT HTG 232 ,CAEM 262 
CLT HTG 234 ,CAEM 263 
CLT HTG 238 ,CAEM 262 
CLT HTG 239 ,CAEM 234 
CLT HTG 239 ,CAEM 263 
CLT HTG 240  M ,INF STD 432 
CLT HTG 241 ,CAEM 232 
CLT HTG 241 ,CAEM 238 
CLT HTG 241 ,CAEM 262 
CLT HTG 250  M ,CAEM 210  M 
CLT HTG 250  M ,CAEM 216  M 
CLT HTG 250  M ,MAT SCI 112  C 
CLT HTG 250  M ,CAEM 210L 
CLT HTG 250  M ,CAEM 264  M 
CLT HTG 265 ,CAEM 262 
CLUSTER 1B M ,GE CLST 1A M 
CLUSTER 1CWM ,GE CLST 1B M 
CLUSTER 20B ,GE CLST 20A 
CLUSTER 20CW ,GE CLST 20B 
CLUSTER 21B ,GE CLST 21A 
CLUSTER 21CW ,GE CLST 21B 
CLUSTER 22B ,GE CLST 22A 
CLUSTER 22CW ,GE CLST 22B 
CLUSTER 22CW ,ENGCOMP 3 
CLUSTER 22CW ,ESL 36 
CLUSTER 23B ,GE CLST 23A 
CLUSTER 23CW ,GE CLST 23B 
CLUSTER 23CW ,ENGCOMP 3 
CLUSTER 23CW ,ESL 36 
CLUSTER 24B M ,GE CLST 24A M 
CLUSTER 24CWM ,GE CLST 24B M 
CLUSTER 25B ,GE CLST 25A 
CLUSTER 25CW ,GE CLST 25B 
CLUSTER 26B ,GE CLST 26A 
CLUSTER 26CW ,GE CLST 26B 
